link_id,prcn_dt,tfvl,sped,ocpy_rate,trvl_hh,snapshot_stat_dt,snapshot_saved_at
4050025900,20260915232500,0,43,0,9,2026091523,2026-09-15 23:29:26
4050134300,20260915232500,0,38,0,6,2026091523,2026-09-15 23:29:26
4050128900,20260915232500,0,31,0,24,2026091523,2026-09-15 23:29:26
4050053700,20260915232500,0,36,0,45,2026091523,2026-09-15 23:29:26
4060045800,20260915232500,0,41,0,7,2026091523,2026-09-15 23:29:26
4050105400,20260915232500,0,38,0,5,2026091523,2026-09-15 23:29:26
4050030200,20260915232500,0,31,0,35,2026091523,2026-09-15 23:29:26
4060022303,20260915232500,0,45,0,13,2026091523,2026-09-15 23:29:26
4050024800,20260915232500,0,39,0,29,2026091523,2026-09-15 23:29:26
4050127800,20260915232500,0,18,0,58,2026091523,2026-09-15 23:29:26
4050155600,20260915232500,0,41,0,49,2026091523,2026-09-15 23:29:26
4050183400,20260915232500,0,23,0,55,2026091523,2026-09-15 23:29:26
4050207300,20260915232500,0,10,0,36,2026091523,2026-09-15 23:29:26
4050023702,20260915232500,0,35,0,45,2026091523,2026-09-15 23:29:26
4050023701,20260915232500,0,35,0,13,2026091523,2026-09-15 23:29:26
4050132100,20260915232500,0,38,0,27,2026091523,2026-09-15 23:29:26
4060021200,20260915232500,0,54,0,26,2026091523,2026-09-15 23:29:26
4060020102,20260915232500,0,43,0,14,2026091523,2026-09-15 23:29:26
4050022600,20260915232500,0,43,0,43,2026091523,2026-09-15 23:29:26
4050049200,20260915232500,0,32,0,27,2026091523,2026-09-15 23:29:26
4050021504,20260915232500,0,59,0,26,2026091523,2026-09-15 23:29:26
4050021503,20260915232500,0,52,0,5,2026091523,2026-09-15 23:29:26
4050021502,20260915232500,0,52,0,5,2026091523,2026-09-15 23:29:26
4050146900,20260915232500,0,25,0,14,2026091523,2026-09-15 23:29:26
4050174700,20260915232500,0,34,0,42,2026091523,2026-09-15 23:29:26
4060068000,20260915232500,0,27,0,17,2026091523,2026-09-15 23:29:26
4050098300,20260915232500,0,41,0,28,2026091523,2026-09-15 23:29:26
